Name,Rarity,Speed,FileName,ExportName,RedExportName,ShadowExportName,RedShadowExportName,ShadowDisableRotate,Scale,Homing,HitEffect,DeathEffect,Damage,CrownTowerDamagePercent,Pushback,PushbackAll,Radius,RadiusY,AoeToAir,AoeToGround,OnlyEnemies,OnlyOwnTroops,MaximumTargets,Gravity,SpawnAreaEffectObject,SpawnCharacterLevelIndex,SpawnCharacterDeployTime,SpawnCharacter,SpawnConstPriority,SpawnCharacterCount,TargetBuff,BuffTime,BuffTimeIncreasePerLevel,TrailEffect,ProjectileRadius,ProjectileRadiusY,ProjectileRange,use360Frames,HitSoundWhenParentAlive,SpawnProjectile,MinDistance,MaxDistance,ConstantHeight,HeightFromTargetRadius,Heal,CrownTowerHealPercent,TargetToEdge,ChainedHitRadius,ChainedHitEndEffect,PingpongDeathEffect,ShakesTargets,PingpongVisualTime,RandomAngle,RandomDistance,Scatter,DragBackSpeed,DragMargin,TargettedEffect
AxeManProjectile,Epic,550,sc/effects.sc,executioner_projectile,,bowler_projectile_shadow,,,,,axe_man_projectile_hit,,106,,,,1000,,TRUE,TRUE,TRUE,,,,,,,,,,,,,AxeProjectileEmitter,900,,¡¤,,,,4500,,3000,,,,,,,axe_man_projectile_die,TRUE,1500,,,,,,
BatProjectile,Common,2000,sc/effects.sc,projectile_cannonball_small,,,,,,TRUE,ArrowHit,,32,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTINUSE1,Legendary,360,sc/effects.sc,log_projectile,,log_projectile_shadow,,,,,log_hit,,,,,,1950,600,,TRUE,TRUE,,,30,,,,,,,,,,log_emitter,,,,,,LogProjectileRolling,3000,,,,,,,,,,,,,,,,,
NOTINUSE2,Legendary,360,sc/effects.sc,log_projectile,,log_projectile_shadow,,,,,log_hit,,,,,,1950,600,,TRUE,TRUE,,,30,,,,,,,,,,log_emitter,,,,,,LogProjectileRolling,3000,,,,,,,,,,,,,,,,,
MovingCannonProjectile,Epic,1000,sc/effects.sc,projectile_cannonball_large,,projectile_arrow_shadow,,,,TRUE,cannon_hit,,153,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DartBarrellProjectile,Rare,500,sc/effects.sc,projectile_cannonball_small,,projectile_arrow_shadow,,,380,TRUE,flying_machine_hit,,4000,,,,,,,,TRUE,,,120,,,,,,,,,,BlowdartProjectileEmitter,,,,,,,,,,,,,,,,,,,,,,,,
MegaKnightAppear,Legendary,1000,,,,,,,,,mega_knight_deploy_end,,480,,1000,,2500,,,TRUE,TRUE,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoblinBarrelSpell-z,Epic,400,sc/spell_goblin_barrel.sc,spell_goblin_barrel_projectile,,Barrel_shadow,,,111,,goblin_barrel_explosion,,,,,,2000,,,TRUE,TRUE,,,40,,,1200,MiniPekka-z,TRUE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZapMachineProjectile-juren,Rare,1400,sc/effects.sc,zapMachine_projectile,,,,,,TRUE,zapmachine_projectile_hit,,666,-50,,,1800,,,TRUE,TRUE,,,,,,,,,,ZapFreeze,400,,zapMachine_trail_emitter,,,,,,,,,,,,,,,,,,,,,,,,
RocketSpell-z,Rare,300,sc/effects.sc,projectile_rocket,,projectile_shadow_rocket,,,240,,Rocket_explosion-z,,8000,-90,2500,,5500,,TRUE,TRUE,TRUE,,,50,Poison-z,,,,,,Poison-z,6000,,Rocket_Emitter,,,,TRUE,,,,,,,,,,,,,,,,,,,,
RocketSpell-gongzhu,Epic,400,sc/effects.sc,projectile_rocket,,projectile_shadow_rocket,,,60,,Rocket_explosion-gz,,600,-75,,,1500,,TRUE,TRUE,TRUE,,,80,,,,,,,,,,Rocket_Emitter-gz,,,,TRUE,,,,,,,,,,,,,,,,,,,,
LogProjectile-jianguo,Legendary,210,sc/effects.sc,log_projectile,,,,,160,,log_hit,,,,,,2000,1000,,TRUE,TRUE,,,90,,,,,,,,,,log_emitter,,,,,,LogProjectileRolling-jianguo,1500,,,,,,,,,,,,,,,,,
LogProjectileRolling-jianguo,Legendary,200,sc/effects.sc,log_roll_projectile,log_roll_projectile_red,,,,170,,log_hit,log_die,600,-60,500,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,log_emitter,1000,1000,30000,,,,1000,,,,,,,,,,,,,,,,,
TankProjectile,Epic,800,sc/4/effects.sc,projectile_tank,,projectile_arrow_shadow,,,100,TRUE,cannon_hit,,2000,,,,1600,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoldierProjectile,Rare,750,sc/4/chr_rifleman.sc,rifleman_lvl1_projectile,,,,,100,TRUE,cannon_hit,,150,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EliteSoldierProjectile,Rare,750,sc/4/chr_Marine_commander.sc,MC_rifle_projectile,,,,,150,TRUE,cannon_hit,,200,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrincessProjectile-z,Legendary,450,sc/effects.sc,projectile_princess,,projectile_arrow_shadow,,,,,PrincessArrowHitGround,,333,,,,1500,,TRUE,TRUE,TRUE,,,90,,,,,,,,,,PrincessArrowProjectileEmitter,,,,,sound_princess_hit_vo,,,,,,,,,,,,,,,,,,,
PrincessProjectileDeco-z,Legendary,450,sc/effects.sc,projectile_princess,,projectile_arrow_shadow,,,,,PrincessArrowHitGround,,,,,,,,,,TRUE,,,90,,,,,,,,,,PrincessArrowProjectileEmitter,,,,,,,,,,,,,,,,,,,,,,,,
TowerPrincessProjectile-z,Common,600,sc/effects.sc,projectile_arrow_basic_enemy,,projectile_arrow_shadow,,,,TRUE,ArrowHit,,100,,,,,,,,TRUE,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketSpell-zx,Rare,300,sc/effects.sc,projectile_rocket,,projectile_shadow_rocket,,,80,,Rocket_explosion-z,,380,-90,,,1250,,TRUE,TRUE,TRUE,,,50,,,,,,,Poison-z,500,,Rocket_Emitter,,,,TRUE,,,,,,,,,,,,,,,,,,,,
GoblinBarrelSpell-z2,Epic,400,sc/spell_goblin_barrel.sc,spell_goblin_barrel_projectile,,Barrel_shadow,,,120,,goblin_barrel_explosion,,500,,,,1200,,,TRUE,TRUE,,,40,,,1200,Goblin,TRUE,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgg,Epic,1000,sc/effects.sc,projectile_cannonball_large,,projectile_arrow_shadow,,,1,,cannon_hit,,100,,,,100,100,,,TRUE,,,,,,100,Plumber,TRUE,2,,,,,100,100,500,,,,,,,,,,,,,,,,,,,,,
gongju,Epic,100,sc/effects.sc,projectile_arrow_basic,,,,,1,TRUE,ArrowHit-gj,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
bx-xl,Epic,600,sc/4/projectiles.sc,fridge,,fridge_shadow,,,110,,icespirit_projectile_hit,,500,-50,250,,3000,,,,TRUE,,,50,,,100,bx,TRUE,1,,,,ice_wiz_emitter,,,,,,,,,,,,,,,,,,,,,,,,
wandou,Common,600,sc/4/wd.sc,fridge,,fridge_shadow,,,,TRUE,cannon_hit,,150,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LavaHoundProjectile-zl,Legendary,150,sc/4/tianxing.sc,building_goblinHut_player,,building_goblinHut_enemy,,,135,,Fireball_explosion,,1000,-30,,,3000,,TRUE,TRUE,TRUE,,,75,tdwx,,,,,,zhuoshao,3500,,FireballEmitter,,,,,,,,,,,,,,,,,,,,,,,,
IceSpiritsProjectile-dw,Common,100,sc/4/dw.sc,fridge,,fridge_shadow,,,110,TRUE,icespirit_projectile_hit,,100,,,,1600,,TRUE,TRUE,TRUE,,,,,,,,,,dw,15000,,lava_hound_Emitter,,,,,,,,,,,,,,,,,,,,,,,,
JetpackProjectile,Rare,800,sc/4/chr_jetpack.sc,jetpack_lvl1_projectile,,,,,130,TRUE,ArrowHit,,200,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice_wizardProjectile-hbyx,Legendary,500,sc/effects.sc,ice_wizard_projectile,,,,,115,,ice_wizard_hit,,333,-50,,,1000,1000,TRUE,TRUE,TRUE,,,,,,,,,,IceWizardSlowDown,1500,,ice_wiz_emitter,1000,1000,15000,,,,,,,,,,,,,,,,,,,,,
HeliProjectile,Epic,360,sc/4/effects.sc,projectile_helipod,,projectile_arrow_shadow,,,,TRUE,mortar_hit,,666,,,,1600,,TRUE,TRUE,TRUE,,,,,,,,,,,,,Dragon_Emitter,,,,,,,,,,,,,,,,,,,,,,,,
chr_wizardProjectile-hyzs,Rare,400,sc/effects.sc,fireball_small,,,,,100,,chr_wizard_projectile_hit-zhuoshao,,70,,,,1500,,TRUE,TRUE,TRUE,,,,,,,,,,zhuoshao,1000,,,,,3500,,,,,,,,,,,,,,,,,,,,,
EggmachineProjectile,Legendary,680,sc/4/effects.sc,projectile_eggtank,,projectile_arrow_shadow,,,73,TRUE,zapmachine_projectile_hit-gwt,,200,,,,1500,,TRUE,TRUE,TRUE,,,,,,,,,,,,,zapMachine_trail_emitter,,,,,,,,,,,,,,,,,,,,,,,,
CannonProjectile,Common,800,sc/4/effects.sc,projectile_def_cannon,,projectile_arrow_shadow,,,100,TRUE,cannon_hit,,250,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlasmagunProjectile,Legendary,400,sc/4/building_railgun.sc,plasmacannon_projectile,,,,,105,,zapmachine_projectile_hit,,1680,-50,,,1500,800,TRUE,TRUE,TRUE,,,,,,,,,,ZapFreeze,750,,zapMachine_trail_emitter,1000,1000,20000,,,,,,,,,,,,,,,,,,,,,
GokuBeam,Common,500,sc/effects.sc,zapMachine_projectile,,,,,102,,zapmachine_projectile_hit,,800,-25,,,1200,800,TRUE,TRUE,TRUE,,,,,,,,,,ZapFreeze,666,,zapMachine_trail_emitter,1000,1000,10000,,,,,,,,,,,,,,TRUE,,,,,,,
lighting,Epic,500,,,,,,,80,,Spell_lightning_effect,,600,,,,,,,,TRUE,,,,,,,,,,ZapFreeze,888,,,,,,,,,,,,,,,,,,,,,,,,,,
LavaHoundProjectile-cj,Legendary,300,sc/effects.sc,particle_coal1,,projectile_arrow_shadow,,,135,TRUE,lava_hound_projectile_hit,,540,,,,,,TRUE,TRUE,TRUE,,,250,,,,,,,,,,lava_hound_Emitter,,,,,,,,,,,,,,,,,,,,,,,,
FireballSpell2,Rare,600,sc/effects.sc,fireball_projectile1,,projectile_arrow_shadow,,,115,,Fireball_explosion,,1500,-60,1800,,2500,,TRUE,TRUE,TRUE,,,50,,,,,,,,,,FireballEmitter,,,,,,,,,,,,,,,,,,,,,,,,
