Name,IconFile,UnlockArena,Rarity,ManaCost,ManaCostFromSummonerMana,NotInUse,Mirror,CustomDeployTime,SummonCharacter,SummonNumber,SummonCharacterLevelIndex,SummonCharacterSecond,SummonCharacterSecondCount,SummonRadius,Radius,Height,Projectile,SpellAsDeploy,CanPlaceOnBuildings,InstantDamage,DurationSeconds,InstantHeal,HealPerSecond,Effect,Pushback,MultipleProjectiles,CustomFirstProjectile,BuffTime,BuffTimeIncreasePerLevel,BuffNumber,BuffType,BuffOnDamage,OnlyOwnTroops,OnlyEnemies,CanDeployOnEnemySide,CastSound,AreaEffectObject,TID,TID_INFO,IndicatorEffect,HideRadiusIndicator,DestIndicatorEffect,ReleaseDate,ElixirProductionStopTime,DarkMirror,StatsUnderInfo
Golem,chr_golem,Arena6,Epic,5,,,,,Golem,10,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,TRUE,,,,,TID_SPELL_GOLEM,TID_SPELL_INFO_GOLEM,,,,,,,
Skeletons,not_in_use,Arena2,Common,1,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Valkyrie,not_in_use,Arena1,Rare,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
SkeletonArmy,not_in_use,TrainingCamp,Epic,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Bomber,not_in_use,TrainingCamp,Common,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Musketeer,not_in_use,TrainingCamp,Rare,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
BabyDragon,not_in_use,TrainingCamp,Epic,4,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Prince,not_in_use,TrainingCamp,Epic,5,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Wizard,not_in_use,Arena5,Rare,5,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
MiniPekka,not_in_use,TrainingCamp,Rare,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
SpearGoblins,not_in_use,Arena1,Common,2,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
GiantSkeleton,not_in_use,Arena2,Epic,5,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
HogRider,not_in_use,Arena4,Rare,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
MinionHorde,not_in_use,Arena4,Common,5,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
IceWizard,not_in_use,Arena5,Legendary,3,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
RoyalGiant,not_in_use,Arena7,Common,6,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
SkeletonWarriors,not_in_use,Arena7,Epic,3,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Princess,princess,Arena7,Legendary,8,,,,,Princess-z,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_PRINCESS,TID_SPELL_INFO_PRINCESS,,,,,,,
DarkPrince,not_in_use,Arena7,Epic,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
ThreeMusketeers,not_in_use,Arena7,Rare,9,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
LavaHound,not_in_use,Arena4,Legendary,7,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
IceSpirits,not_in_use,Arena8,Common,1,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
FireSpirits,not_in_use,Arena5,Common,2,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Miner,not_in_use,Arena6,Legendary,3,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
ZapMachine,not_in_use,Arena6,Legendary,6,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Bowler,not_in_use,Arena8,Epic,5,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
RageBarbarian,not_in_use,Arena8,Legendary,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
BattleRam,battle_ram,Arena6,Rare,4,,,,,BattleRam-z,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BATTLE_RAM,TID_SPELL_INFO_BATTLE_RAM,,,,,,,
InfernoDragon,not_in_use,Arena4,Legendary,4,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
IceGolemite,not_in_use,Arena8,Rare,5,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
MegaMinion,not_in_use,Arena7,Rare,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
BlowdartGoblin,not_in_use,Arena9,Rare,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
GoblinGang,not_in_use,Arena9,Common,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
ElectroWizard,not_in_use,Arena7,Legendary,4,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
AngryBarbarians,not_in_use,Arena7,Common,6,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOTINUSE1,not_in_use,Arena9,Legendary,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
AxeMan,not_in_use,Arena9,Epic,5,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Assassin,not_in_use,Arena9,Legendary,3,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOTINUSE2,not_in_use,Arena9,Legendary,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
DarkWitch,not_in_use,Arena8,Legendary,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Bats,not_in_use,Arena8,Common,2,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOTINUSE6,not_in_use,Arena_L,Legendary,5,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOTINUSE3,not_in_use,Arena9,Legendary,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOTINUSE9,not_in_use,Arena9,Legendary,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOTINUSE4,not_in_use,Arena9,Legendary,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
MovingCannon,not_in_use,Arena_L,Epic,5,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
MegaKnight,not_in_use,Arena_L,Legendary,7,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
SkeletonBalloon,not_in_use,Arena6,Common,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
DartBarrell,flying_machine,Arena9,Epic,9,,,,,DartBarrell,1,,,,,,3900,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_DART_BARRELL,TID_SPELL_INFO_DART_BARRELL,,,,Soon,,,
