"Map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,16,16,16,16,16,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,16,16,32,32,32
,16,16,16,16,16,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,16,16,32,32,32
,16,16,16,16,16,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,16,16,32,32,32
,16,16,16,16,16,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,16,16,16,48,48
,16,16,16,16,16,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,16,16,16,16,16
,32,48,48,48,48,17,17,17,17,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,18,18,18,18,32,32,32,32,32
,48,48,48,48,48,16,17,17,16,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,16,18,18,16,32,32,32,32,32
,48,48,48,48,48,16,17,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,16,18,18,16,32,32,32,32,32
,48,48,48,48,48,17,33,33,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,18,18,18,18,32,32,32,32,32
,16,16,16,16,16,17,33,33,33,32,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,16,16,16,16,16
,16,16,48,48,32,49,33,33,33,32,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,16,16,16,48,48
,32,48,48,48,48,33,33,33,33,32,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,16,16,16,32,32
,32,48,16,16,16,17,33,33,17,16,16,16,16,16,16,16,16,16,16,16,16,16,48,16,16,16,16,18,18,18,18,16,16,16,32,32
,32,48,16,16,16,17,33,33,17,16,16,16,16,16,32,32,32,32,32,32,32,32,32,32,32,32,32,34,34,34,34,32,32,32,32,32
,32,48,16,16,16,17,33,33,17,16,16,16,16,16,32,32,32,32,32,32,32,32,32,32,32,32,32,34,34,34,34,32,32,32,32,32
,32,48,16,16,16,17,33,33,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,16,16,16,32,32
,32,32,16,16,16,17,33,33,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,16,16,16,32,32
,32,48,16,16,16,17,33,33,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,16,16,16,32,32
,32,48,16,16,16,17,33,33,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,16,16,16,32,32
,32,48,16,16,16,17,33,33,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,48,48,50,18,18,18,16,16,16,32,32
,32,48,16,16,16,17,49,33,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,34,18,18,18,16,16,16,32,32
,32,48,16,16,16,17,17,17,33,32,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,32,34,18,18,18,16,16,16,32,32
,32,48,16,16,17,17,17,17,33,33,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,34,34,18,18,18,18,16,16,32,32
,32,48,16,16,17,17,17,17,33,33,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,34,34,18,18,18,18,16,16,32,32
,32,48,16,16,17,17,17,17,33,33,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,34,34,18,18,18,18,16,16,32,32
,32,48,16,16,17,17,17,17,33,33,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,34,34,18,18,18,18,16,16,32,32
,32,48,16,16,17,17,17,17,33,33,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,34,34,18,18,18,18,16,16,32,32
,32,48,16,16,17,17,17,17,33,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,34,34,18,18,18,18,16,16,32,32
,48,48,16,16,17,17,17,17,33,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,34,34,18,18,18,18,16,16,32,32
,48,48,16,16,16,17,17,17,17,17,16,16,32,32,1,1,1,1,2,2,2,2,,16,16,16,18,18,18,18,18,16,16,16,32,32
,48,48,16,16,16,17,17,17,17,17,17,17,33,33,1,17,17,17,18,18,18,2,18,18,18,18,18,18,18,18,18,16,16,16,32,32
,48,48,16,16,16,17,17,17,17,17,17,17,49,33,1,17,17,17,18,18,18,2,18,18,18,18,18,18,18,18,18,16,16,16,32,32
,48,48,16,16,16,17,17,17,17,17,17,17,49,33,1,17,17,17,18,18,18,2,18,18,18,18,18,18,18,18,18,16,16,16,32,32
,48,48,16,16,16,17,17,17,17,17,17,17,49,33,1,17,17,17,18,18,18,2,18,18,18,18,18,18,18,18,18,16,16,16,32,32
,48,48,16,16,16,16,16,16,16,16,16,16,48,32,1,17,17,17,18,18,18,2,16,16,16,16,16,16,16,16,16,16,16,16,32,32
,48,48,16,16,16,16,16,16,16,16,16,16,48,32,1,17,17,17,18,18,18,2,,16,16,16,16,16,16,16,16,16,16,16,32,32
,48,48,16,16,16,16,16,16,16,16,16,16,32,32,1,1,1,1,2,2,2,2,,16,16,16,16,16,16,16,16,16,16,16,32,32
,16,48,48,48,48,48,48,48,48,48,48,32,32,32,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16
,16,48,48,48,48,48,48,48,48,48,48,32,32,32,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16
"Layout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PrincessTower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"KingTower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
